code_commune,nom_commune,code_departement,prix_moyen,nb_ventes
02264,Dizy-le-Gros,02,939.4927009227953,7
02267,Dommiers,02,2697.508891023311,6
02268,Domptin,02,1705.577677768773,9
02277,Épagny,02,1501.8625904542262,7
02279,Épaux-Bézu,02,1744.4419930497504,11
02280,Épieds,02,1577.46241386994,7
02281,L'Épine-aux-Bois,02,1731.7630033189264,6
02286,Esquéhéries,02,1436.2520459597304,8
02287,Essigny-le-Grand,02,2791.9174263619097,20
02289,Essises,02,1990.4797093476002,10
02290,Essômes-sur-Marne,02,3488.6296488691373,29
02292,Étampes-sur-Marne,02,1699.2611390322213,14
02295,Étréaupont,02,1342.656124752435,11
02296,Étreillers,02,1724.8234089181096,10
02298,Étreux,02,1379.0585210342604,14
02302,Faverolles,02,1749.2763225081699,8
02303,Fayet,02,2370.1642665313475,10
02304,La Fère,02,2264.907444649917,45
02305,Fère-en-Tardenois,02,1600.7552376675612,42
02306,La Ferté-Chevresis,02,1845.688283114557,7
02307,La Ferté-Milon,02,6306.153139191759,44
02308,Fesmy-le-Sart,02,1493.7515182510624,12
02309,Festieux,02,1410.7276835398825,11
02312,La Flamengrie,02,1118.1916714084568,10
02313,Flavigny-le-Grand-et-Beaurain,02,2074.1419135676465,9
02315,Flavy-le-Martel,02,1397.096073999174,23
02318,Folembray,02,1449.9067369857191,21
02321,Fontaine-lès-Vervins,02,2779.4361516300005,16
02328,Fossoy,02,1892.815807760235,6
02334,Fresnoy-le-Grand,02,1342.5476499787226,24
02336,Frières-Faillouël,02,1924.9715722065953,7
02339,Gandelu,02,1376.0117591127866,10
02340,Gauchy,02,1361.6530923322457,58
02346,Gizy,02,1626.1072023159556,11
02347,Gland,02,1508.9548765331235,6
02355,Gricourt,02,1484.917304552319,8
02359,Grugies,02,1296.0277582496685,15
02360,Villeneuve-sur-Aisne,02,2104.0294028432795,32
02361,Guise,02,2084.565778303269,94
02368,Haramont,02,2845.3214553825633,14
02370,Hargicourt,02,1616.5854665317759,6
02371,Harly,02,1183.8185957183598,12
02374,Lehaucourt,02,1173.1209337786966,13
02381,Hirson,02,2952.0513545465674,160
02382,Holnon,02,1672.4583714670505,20
02383,Homblières,02,2178.237735908012,17
